Iteration,Loss,Annotations,Accuracy,Confidence
0.0,0.0,0.0,0.0,0.0
1.0,2.25960373878479,5.0,0.6085037556883601,0.8726397242606305
2.0,0.49163922667503357,10.0,0.7840616261856461,0.9665122137848479
3.0,0.10905031114816666,15.0,0.9552881188661659,0.9950087902389484
4.0,0.14262805879116058,20.0,0.9536432918471407,0.9880969333719
5.0,0.14255373179912567,25.0,0.954767256976808,0.9631764210672382
6.0,0.12180570513010025,30.0,0.9568507045342398,0.9989212479763984
7.0,0.12004740536212921,35.0,0.957645704260102,0.9869898725129502
8.0,0.11984527111053467,40.0,0.9587148418224684,0.9999468879258179
9.0,0.09441138058900833,45.0,0.965623115302374,0.9998272955702814
10.0,0.05566960573196411,50.0,0.97450518120511,0.9991177957473637
11.0,0.023065751418471336,55.0,0.9910356927463129,0.9966551186555179
12.0,0.026732753962278366,60.0,0.9878282800592137,0.9981683453382395
